Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
36,AFG,Afghanistan,Kabul,Asia," 41,128,771 "," 38,972,230 "," 33,753,499 "," 28,189,672 "," 19,542,982 "," 10,694,796 "," 12,486,631 "," 10,752,971 ",652230,63.0587,1.0257,0.52
138,ALB,Albania,Tirana,Europe," 2,842,321 "," 2,866,849 "," 2,882,481 "," 2,913,399 "," 3,182,021 "," 3,295,066 "," 2,941,651 "," 2,324,731 ",28748,98.8702,0.9957,0.04
34,DZA,Algeria,Algiers,Africa," 44,903,225 "," 43,451,666 "," 39,543,154 "," 35,856,344 "," 30,774,621 "," 25,518,074 "," 18,739,378 "," 13,795,915 ",2381741,18.8531,1.0164,0.56
213,ASM,American Samoa,Pago Pago,Oceania," 44,273 "," 46,189 "," 51,368 "," 54,849 "," 58,230 "," 47,818 "," 32,886 "," 27,075 ",199,222.4774,0.9831,0
203,AND,Andorra,Andorra la Vella,Europe," 79,824 "," 77,700 "," 71,746 "," 71,519 "," 66,097 "," 53,569 "," 35,611 "," 19,860 ",468,170.5641,1.01,0
42,AGO,Angola,Luanda,Africa," 35,588,987 "," 33,428,485 "," 28,127,721 "," 23,364,185 "," 16,394,062 "," 11,828,638 "," 8,330,047 "," 6,029,700 ",1246700,28.5466,1.0315,0.45
224,AIA,Anguilla,The Valley,North America," 15,857 "," 15,585 "," 14,525 "," 13,172 "," 11,047 "," 8,316 "," 6,560 "," 6,283 ",91,174.2527,1.0066,0
201,ATG,Antigua and Barbuda,Saint John’s,North America," 93,763 "," 92,664 "," 89,941 "," 85,695 "," 75,055 "," 63,328 "," 64,888 "," 64,516 ",442,212.1335,1.0058,0
33,ARG,Argentina,Buenos Aires,South America," 45,510,318 "," 45,036,032 "," 43,257,065 "," 41,100,123 "," 37,070,774 "," 32,637,657 "," 28,024,803 "," 23,842,803 ",2780400,16.3683,1.0052,0.57
140,ARM,Armenia,Yerevan,Asia," 2,780,469 "," 2,805,608 "," 2,878,595 "," 2,946,293 "," 3,168,523 "," 3,556,539 "," 3,135,123 "," 2,534,377 ",29743,93.4831,0.9962,0.03
198,ABW,Aruba,Oranjestad,North America," 106,445 "," 106,585 "," 104,257 "," 100,341 "," 89,101 "," 65,712 "," 62,267 "," 59,106 ",180,591.3611,0.9991,0
55,AUS,Australia,Canberra,Oceania," 26,177,413 "," 25,670,051 "," 23,820,236 "," 22,019,168 "," 19,017,963 "," 17,048,003 "," 14,706,322 "," 12,595,034 ",7692024,3.4032,1.0099,0.33
99,AUT,Austria,Vienna,Europe," 8,939,617 "," 8,907,777 "," 8,642,421 "," 8,362,829 "," 8,010,428 "," 7,678,729 "," 7,547,561 "," 7,465,301 ",83871,106.5877,1.002,0.11
91,AZE,Azerbaijan,Baku,Asia," 10,358,074 "," 10,284,951 "," 9,863,480 "," 9,237,202 "," 8,190,337 "," 7,427,836 "," 6,383,060 "," 5,425,317 ",86600,119.6082,1.0044,0.13
176,BHS,Bahamas,Nassau,North America," 409,984 "," 406,471 "," 392,697 "," 373,272 "," 325,014 "," 270,679 "," 223,752 "," 179,129 ",13943,29.4043,1.0051,0.01
154,BHR,Bahrain,Manama,Asia," 1,472,233 "," 1,477,469 "," 1,362,142 "," 1,213,645 "," 711,442 "," 517,418 "," 362,595 "," 222,555 ",765,1924.4876,1.0061,0.02
8,BGD,Bangladesh,Dhaka,Asia," 171,186,372 "," 167,420,951 "," 157,830,000 "," 148,391,139 "," 129,193,327 "," 107,147,651 "," 83,929,765 "," 67,541,860 ",147570,1160.035,1.0108,2.15
186,BRB,Barbados,Bridgetown,North America," 281,635 "," 280,693 "," 278,083 "," 274,711 "," 264,657 "," 258,868 "," 253,575 "," 241,397 ",430,654.9651,1.0015,0
96,BLR,Belarus,Minsk,Europe," 9,534,954 "," 9,633,740 "," 9,700,609 "," 9,731,427 "," 10,256,483 "," 10,428,525 "," 9,817,257 "," 9,170,786 ",207600,45.9295,0.9955,0.12
81,BEL,Belgium,Brussels,Europe," 11,655,930 "," 11,561,717 "," 11,248,303 "," 10,877,947 "," 10,264,343 "," 9,959,560 "," 9,828,986 "," 9,629,376 ",30528,381.8111,1.0038,0.15
177,BLZ,Belize,Belmopan,North America," 405,272 "," 394,921 "," 359,871 "," 322,106 "," 240,406 "," 182,589 "," 145,133 "," 120,905 ",22966,17.6466,1.0131,0.01
77,BEN,Benin,Porto-Novo,Africa," 13,352,864 "," 12,643,123 "," 10,932,783 "," 9,445,710 "," 6,998,023 "," 5,133,419 "," 3,833,939 "," 3,023,443 ",112622,118.5635,1.0274,0.17
206,BMU,Bermuda,Hamilton,North America," 64,184 "," 64,031 "," 63,144 "," 63,447 "," 61,371 "," 57,470 "," 53,565 "," 52,019 ",54,1188.5926,1,0
165,BTN,Bhutan,Thimphu,Asia," 782,455 "," 772,506 "," 743,274 "," 705,516 "," 587,207 "," 558,442 "," 415,257 "," 298,894 ",38394,20.3796,1.0064,0.01
80,BOL,Bolivia,Sucre,South America," 12,224,110 "," 11,936,162 "," 11,090,085 "," 10,223,270 "," 8,592,656 "," 7,096,194 "," 5,736,088 "," 4,585,693 ",1098581,11.1272,1.012,0.15
137,BIH,Bosnia and Herzegovina,Sarajevo,Europe," 3,233,526 "," 3,318,407 "," 3,524,324 "," 3,811,088 "," 4,179,350 "," 4,494,310 "," 4,199,820 "," 3,815,561 ",51209,63.1437,0.9886,0.04
144,BWA,Botswana,Gaborone,Africa," 2,630,296 "," 2,546,402 "," 2,305,171 "," 2,091,664 "," 1,726,985 "," 1,341,474 "," 938,578 "," 592,244 ",582000,4.5194,1.0162,0.03
7,BRA,Brazil,Brasilia,South America," 215,313,498 "," 213,196,304 "," 205,188,205 "," 196,353,492 "," 175,873,720 "," 150,706,446 "," 122,288,383 "," 96,369,875 ",8515767,25.2841,1.0046,2.7
221,VGB,British Virgin Islands,Road Town,North America," 31,305 "," 30,910 "," 29,366 "," 27,556 "," 20,104 "," 15,617 "," 11,109 "," 9,581 ",151,207.3179,1.0059,0
175,BRN,Brunei,Bandar Seri Begawan,Asia," 449,002 "," 441,725 "," 421,437 "," 396,053 "," 333,926 "," 261,928 "," 187,921 "," 133,343 ",5765,77.8841,1.0081,0.01
108,BGR,Bulgaria,Sofia,Europe," 6,781,953 "," 6,979,175 "," 7,309,253 "," 7,592,273 "," 8,097,691 "," 8,767,778 "," 8,980,606 "," 8,582,950 ",110879,61.1654,0.9849,0.09
58,BFA,Burkina Faso,Ouagadougou,Africa," 22,673,762 "," 21,522,626 "," 18,718,019 "," 16,116,845 "," 11,882,888 "," 9,131,361 "," 6,932,967 "," 5,611,666 ",272967,83.0641,1.0259,0.28
78,BDI,Burundi,Bujumbura,Africa," 12,889,576 "," 12,220,227 "," 10,727,148 "," 9,126,605 "," 6,307,659 "," 5,483,793 "," 4,312,834 "," 3,497,834 ",27834,463.0874,1.027,0.16
73,KHM,Cambodia,Phnom Penh,Asia," 16,767,842 "," 16,396,860 "," 15,417,523 "," 14,363,532 "," 12,118,841 "," 8,910,808 "," 6,198,959 "," 6,708,525 ",181035,92.6221,1.0108,0.21
53,CMR,Cameroon,Yaounde,Africa," 27,914,536 "," 26,491,087 "," 23,012,646 "," 19,878,036 "," 15,091,594 "," 11,430,520 "," 8,519,891 "," 6,452,787 ",475442,58.7128,1.0263,0.35
39,CAN,Canada,Ottawa,North America," 38,454,327 "," 37,888,705 "," 35,732,126 "," 33,963,412 "," 30,683,313 "," 27,657,204 "," 24,511,510 "," 21,434,577 ",9984670,3.8513,1.0078,0.48
171,CPV,Cape Verde,Praia,Africa," 593,149 "," 582,640 "," 552,166 "," 521,212 "," 458,251 "," 364,563 "," 317,234 "," 287,262 ",4033,147.0739,1.0089,0.01
205,CYM,Cayman Islands,George Town,North America," 68,706 "," 67,311 "," 60,911 "," 54,074 "," 39,658 "," 26,027 "," 17,100 "," 10,533 ",264,260.25,1.0084,0
117,CAF,Central African Republic,Bangui,Africa," 5,579,144 "," 5,343,020 "," 4,819,333 "," 4,660,067 "," 3,759,170 "," 2,809,221 "," 2,415,276 "," 2,067,356 ",622984,8.9555,1.0224,0.07
69,TCD,Chad,N'Djamena,Africa," 17,723,315 "," 16,644,701 "," 14,140,274 "," 11,894,727 "," 8,259,137 "," 5,827,069 "," 4,408,230 "," 3,667,394 ",1284000,13.8032,1.0316,0.22
65,CHL,Chile,Santiago,South America," 19,603,733 "," 19,300,315 "," 17,870,124 "," 17,004,162 "," 15,351,799 "," 13,342,868 "," 11,469,828 "," 9,820,481 ",756102,25.9274,1.0057,0.25
1,CHN,China,Beijing,Asia," 1,425,887,337 "," 1,424,929,781 "," 1,393,715,448 "," 1,348,191,368 "," 1,264,099,069 "," 1,153,704,252 "," 982,372,466 "," 822,534,450 ",9706961,146.8933,1,17.88
28,COL,Colombia,Bogota,South America," 51,874,024 "," 50,930,662 "," 47,119,728 "," 44,816,108 "," 39,215,135 "," 32,601,393 "," 26,176,195 "," 20,905,254 ",1141748,45.4339,1.0069,0.65
163,COM,Comoros,Moroni,Africa," 836,774 "," 806,166 "," 730,216 "," 656,024 "," 536,758 "," 431,119 "," 328,328 "," 242,351 ",1862,449.3953,1.0184,0.01
223,COK,Cook Islands,Avarua,Oceania," 17,011 "," 17,029 "," 17,695 "," 17,212 "," 15,897 "," 17,123 "," 17,651 "," 20,470 ",236,72.0805,1.0005,0
124,CRI,Costa Rica,San José,North America," 5,180,829 "," 5,123,105 "," 4,895,242 "," 4,622,252 "," 3,979,193 "," 3,158,253 "," 2,414,303 "," 1,855,697 ",51100,101.3861,1.0052,0.06
130,HRV,Croatia,Zagreb,Europe," 4,030,358 "," 4,096,868 "," 4,254,815 "," 4,368,682 "," 4,548,434 "," 4,873,707 "," 4,680,144 "," 4,492,638 ",56594,71.2153,0.9927,0.05
85,CUB,Cuba,Havana,North America," 11,212,191 "," 11,300,698 "," 11,339,894 "," 11,290,417 "," 11,105,791 "," 10,626,680 "," 9,809,107 "," 8,869,636 ",109884,102.0366,0.9961,0.14
189,CUW,Curacao,Willemstad,North America," 191,163 "," 189,288 "," 169,572 "," 159,380 "," 141,424 "," 155,446 "," 156,851 "," 150,385 ",444,430.5473,1.0043,0
158,CYP,Cyprus,Nicosia,Europe," 1,251,488 "," 1,237,537 "," 1,187,280 "," 1,129,686 "," 948,237 "," 788,500 "," 679,327 "," 640,804 ",9251,135.2814,1.0059,0.02
88,CZE,Czech Republic,Prague,Europe," 10,493,986 "," 10,530,953 "," 10,523,798 "," 10,464,749 "," 10,234,710 "," 10,301,192 "," 10,270,060 "," 9,795,744 ",78865,133.0627,0.9984,0.13
115,DNK,Denmark,Copenhagen,Europe," 5,882,261 "," 5,825,641 "," 5,677,796 "," 5,550,849 "," 5,340,655 "," 5,144,623 "," 5,125,392 "," 4,922,963 ",43094,136.4984,1.0048,0.07
160,DJI,Djibouti,Djibouti,Africa," 1,120,849 "," 1,090,156 "," 1,006,259 "," 919,199 "," 742,033 "," 577,173 "," 324,121 "," 144,379 ",23200,48.3125,1.0138,0.01
204,DMA,Dominica,Roseau,North America," 72,737 "," 71,995 "," 70,007 "," 68,755 "," 68,346 "," 69,481 "," 72,978 "," 68,895 ",751,96.8535,1.0045,0
84,DOM,Dominican Republic,Santo Domingo,North America," 11,228,821 "," 10,999,664 "," 10,405,832 "," 9,775,755 "," 8,540,791 "," 7,129,004 "," 5,755,800 "," 4,475,871 ",48671,230.7087,1.01,0.14
15,COD,DR Congo,Kinshasa,Africa," 99,010,212 "," 92,853,164 "," 78,656,904 "," 66,391,257 "," 48,616,317 "," 35,987,541 "," 26,708,686 "," 20,151,733 ",2344858,42.2244,1.0325,1.24
67,ECU,Ecuador,Quito,South America," 18,001,000 "," 17,588,595 "," 16,195,902 "," 14,989,585 "," 12,626,507 "," 10,449,837 "," 8,135,845 "," 6,172,215 ",276841,65.0229,1.0114,0.23
14,EGY,Egypt,Cairo,Africa," 110,990,103 "," 107,465,134 "," 97,723,799 "," 87,252,413 "," 71,371,371 "," 57,214,630 "," 43,748,556 "," 34,781,986 ",1002450,110.7188,1.0158,1.39
112,SLV,El Salvador,San Salvador,North America," 6,336,392 "," 6,292,731 "," 6,231,066 "," 6,114,034 "," 5,958,482 "," 5,367,179 "," 4,508,992 "," 3,619,090 ",21041,301.145,1.0035,0.08
152,GNQ,Equatorial Guinea,Malabo,Africa," 1,674,908 "," 1,596,049 "," 1,346,973 "," 1,094,524 "," 684,977 "," 465,549 "," 282,509 "," 316,955 ",28051,59.7094,1.0247,0.02
132,ERI,Eritrea,Asmara,Africa," 3,684,032 "," 3,555,868 "," 3,340,006 "," 3,147,727 "," 2,392,880 "," 2,149,960 "," 1,657,982 "," 1,272,748 ",117600,31.3268,1.0176,0.05
156,EST,Estonia,Tallinn,Europe," 1,326,062 "," 1,329,444 "," 1,314,657 "," 1,331,535 "," 1,396,877 "," 1,570,674 "," 1,476,983 "," 1,361,999 ",45227,29.3201,0.998,0.02
159,SWZ,Eswatini,Mbabane,Africa," 1,201,670 "," 1,180,655 "," 1,133,936 "," 1,099,920 "," 1,030,496 "," 854,011 "," 598,564 "," 442,865 ",17364,69.2047,1.0079,0.02
12,ETH,Ethiopia,Addis Ababa,Africa," 123,379,924 "," 117,190,911 "," 102,471,895 "," 89,237,791 "," 67,031,867 "," 47,878,073 "," 34,945,469 "," 28,308,246 ",1104300,111.7268,1.0257,1.55
231,FLK,Falkland Islands,Stanley,South America," 3,780 "," 3,747 "," 3,408 "," 3,187 "," 3,080 "," 2,332 "," 2,240 "," 2,274 ",12173,0.3105,1.0043,0
209,FRO,Faroe Islands,Tórshavn,Europe," 53,090 "," 52,415 "," 48,816 "," 48,410 "," 45,660 "," 47,479 "," 43,054 "," 38,416 ",1393,38.112,1.0038,0
162,FJI,Fiji,Suva,Oceania," 929,766 "," 920,422 "," 917,200 "," 905,169 "," 832,509 "," 780,430 "," 644,582 "," 527,634 ",18272,50.8847,1.0056,0.01
